drug name,molecular_formula,smiles,,molecular_weight
Almotriptan,C17H25N3O2S,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,,Breast Feeding|Lactation|Serotonin Receptor Agonists|Serotonin 5-HT1 Receptor Agonists|Triptans|Vasoconstrictor Agents
Naratriptan,C17H25N3O2S,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,,Breast Feeding|Lactation|Serotonin Receptor Agonists|Serotonin 5-HT1 Receptor Agonists|Triptans|Vasoconstrictor Agents
Phencyclidine,C17H25N,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,,Breast Feeding|Lactation|Excitatory Amino Acid Antagonists|Hallucinogens|Street Drugs
Atropine,C17H23NO3,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,,Breast Feeding|Lactation|Antiarrhythmics|Bronchodilator Agents|Mydriatics|Parasympatholytics|Muscarinic Antagonists
Pyrilamine,C17H23N3O,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Doxylamine,C17H22N2O,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,,Breast Feeding|Lactation|Antihistamines|Antiemetics|Gastrointestinal Agents
Iomeprol,C17H22I3N3O8,CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Iopamidol,C17H22I3N3O8,C[C@@H](C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Cocaine,C17H21NO4,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,,"Breast Feeding|Lactation|Milk, Human|Anesthetics, Local|Dopamine Uptake Inhibitors|Street Drugs|Vasoconstrictor Agents"
Atomoxetine,C17H21NO,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,,"Breast Feeding|Lactation|Milk, Human|Adrenergic Uptake Inhibitors"
Diphenhydramine,C17H21NO,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,,Breast Feeding|Lactation|Antihistamines
Mycophenolate,C17H20O6,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,,"Breast Feeding|Lactation|Milk, Human|Immunosuppressive Agents"
Olanzapine,C17H20N4S,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Promethazine,C17H20N2S,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,,Breast Feeding|Lactation|Antiemetics|Phenothiazines
Methicillin,C17H20N2O6S,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Tropicamide,C17H20N2O2,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,,Breast Feeding|Lactation|Mydriatics|Muscarinic Antagonists|Parasympatholytics
Flecainide,C17H20F6N2O3,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Antiarrhythmics"
Oxymorphone,C17H19NO4,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid; Narcotics"
Hydromorphone,C17H19NO3,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics|Antitussive Agents|Opiates"
Morphine,C17H19NO3,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics"
Omeprazole,C17H19N3O3S,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,,"Breast Feeding|Lactation|Milk, Human|Anti-Ulcer Agents|Gastrointestinal Agents|Proton Pump Inhibitors"
Esomeprazole,C17H19N3O3S,CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC,,"Breast Feeding|Lactation|Milk, Human|Anti-Ulcer Agents|Gastrointestinal Agents|Proton Pump Inhibitors"
Mirtazapine,C17H19N3,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Antidepressive Agents, Second-Generation"
upadacitinib,C17H19F3N6O,CC[C@@H]1CN(C[C@@H]1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,,Breast Feeding|Lactation|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors
Lomefloxacin,C17H19F2N3O3,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Chlorpromazine,C17H19ClN2S,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
tapinarof,C17H18O2,CC(C)C1=C(C=C(C=C1O)/C=C/C2=CC=CC=C2)O,,"Breast Feeding|Lactation|Milk, Human|Dermatological Agents"
Ruxolitinib,C17H18N6,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors
Nifedipine,C17H18N2O6,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
Ciprofloxacin,C17H18FN3O3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Fluoxetine,C17H18F3NO,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Serotonin Uptake Inhibitors"
Apomorphine,C17H17NO2,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,,"Breastfeeding|Lactation|Milk, Human|Antiparkinson Agents|Dopamine Agents|Dopamine Agonists|Emetics|Gastrointestinal Agents"
Eszopiclone,C17H17ClN6O3,CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives"
Sertraline,C17H17Cl2N,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Serotonin Uptake Inhibitors"
vonoprazan,C17H16FN3O2S,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3,,"Breast Feeding|Lactation|Milk, Human|Anti-Ulcer Agents|Gastrointestinal Agents|Proton Pump Inhibitors"
Mefloquine,C17H16F6N2O,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,,Breast Feeding|Lactation|Anti-infective Agents|Antimalarials|Antiparasitic Agents|Antiprotozoal Agents
Asenapine,C17H16ClNO,CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Amoxapine,C17H16ClN3O,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Serotonin Uptake Inhibitors"
Zaleplon,C17H15N5O,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives"
Balsalazide,C17H15N3O6,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O,,"Breast Feeding|Lactation|Anti-Inflammatory Agents, Non-Steroidal|Gastrointestinal Agents"
Tedizolid,C17H15FN6O3,CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4C[C@@H](OC4=O)CO)F,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents
etizolam,C17H15ClN4S,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Binimetinib,C17H15BrF2N4O3,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Celecoxib,C17H14F3N3O2S,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
roflumilast,C17H14Cl2F2N2O3,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,,Breast Feeding|Lactation|Phosphodiesterase 4 Inhibitors
Alprazolam,C17H13ClN4,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Triazolam,C17H12Cl2N4,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Benzodiazepines"
Letrozole,C17H11N5,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,,Breast Feeding|Lactation|Antineoplastic Agents|Aromatase Inhibitors
Selinexor,C17H11F6N7O,C1=CN=C(C=N1)NNC(=O)/C=C\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,,"Breastfeeding|Lactation,|Antineoplastic Agents"
Doravirine,C17H11ClF3N5O3,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
Liraglutide,C172H265N43O51,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC6=CN=CN6)N)C(=O)O,,Breast Feeding|Lactation|Hypoglycemic Agents|Incretins|Glucagon-Like Peptide-1 Agonists|GLP-1 Agonists
Divalproex,C16H31NaO4,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants|Antimanic Agents|GABA Agents"
Oseltamivir,C16H28N2O4,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC,,Breast Feeding|Lactation|Anti-Infective Agents|Antiviral Agents|Neuraminidase Inhibitors
Gadodiamide,C16H26GdN5O8,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Esmolol,C16H25NO4,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,,Breast Feeding|Lactation|Antihypertensive Agents|Adrenergic Beta-Antagonists|Antiarrhythmics
Tramadol,C16H25NO2,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics"
Desvenlafaxine,C16H25NO2,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,,"Breast Feeding|Lactation|Milk, Human|Serotonin Uptake Inhibitors|Antidepressive Agents|Antidepressive Agents, Second-Generation"
Gadoterate,C16H25GdN4O8,C1CN(CCN(CCN(CCN1CC(=O)O)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Carteolol,C16H24N2O3,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,,Breast Feeding|Lactation|Adrenergic Beta-Antagonists|Antiglaucoma Agents
Molindone,C16H24N2O2,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,,Breast Feeding|Lactation|Antipsychotic Agents
Oxymetazoline,C16H24N2O,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C,,Breast Feeding|Lactation|Adrenergic alpha-Agonists|Sympathomimetics|Nasal Decongestants
tegaserod,C16H23N5O,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,,Breast Feeding|Lactation|Gastrointestinal Drugs|Serotonin Receptor Agonists
Homatropine,C16H21NO3,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O,,Breast Feeding|Lactation|Mydriatics|Muscarinic Antagonists|Parasympatholytics
Ramelteon,C16H21NO2,CCC(=O)NCC[C@@H]1CCC2=C1C3=C(C=C2)OCC3,,"Breast Feeding|Lactation|Milk, Human|Central Nervous System Depressants"
Propranolol,C16H21NO2,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Adrenergic Beta-Antagonists|Antiarrhythmics"
Zolmitriptan,C16H21N3O2,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,,Breast Feeding|Lactation|Serotonin Receptor Agonists|Serotonin 5-HT1 Receptor Agonists|Triptans|Vasoconstrictor Agents
Tripelennamine,C16H21N3,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Bendamustine,C16H21Cl2N3O2,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,,"Breast Feeding|Lactation|Antineoplastic Agents, Alkylating|Nitrosourea Compounds"
Tofacitinib,C16H20N6O,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,,Breast Feeding|Lactation|Antirheumatic Agents|Enzyme Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors|Signal Transduction Inhibitors|Protein Kinase Inhibitors
Torsemide,C16H20N4O3S,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,,Breast Feeding|Lactation|Antihypertensive Agents|Loop Diuretics
Apazone,C16H20N4O2,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C,,"Breast Feeding|Lactation|Anti-Inflammatory Agents, Non-Steroidal|Uricosuric Agents"
Linezolid,C16H20FN3O4,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,,Breast Feeding|Lactation|Anti-Infective Agents|Anti-Bacterial Agents
Amoxicillin,C16H19N3O5S,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,,Breast Feeding|Lactation|Anti-infective Agents|Antibacterial Agents|Penicillins
Carbinoxamine,C16H19ClN2O,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Chlorpheniramine,C16H19ClN2,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Dexchlorpheniramine,C16H19ClN2,CN(C)CC[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Brompheniramine,C16H19BrN2,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Dexbrompheniramine,C16H19BrN2,CN(C)CC[C@@H](C1=CC=C(C=C1)Br)C2=CC=CC=N2,,Breast Feeding|Lactation|Antihistamines
Penicillin V,C16H18N2O5S,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Penicillin G,C16H18N2O4S,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Norfloxacin,C16H18FN3O3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Ezogabine,C16H18FN3O2,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,,Breast Feeding|Lactation|Anticonvulsants
Baricitinib,C16H17N7O2S,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,,"Breast Feeding|Lactation|Milk, Human|Antirheumatic Agents|Enzyme Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors|Signal Transduction Inhibitors|Protein Kinase Inhibitors"
Cefoxitin,C16H17N3O7S2,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antibacterial Agents|Cephalosporins"
Cefadroxil,C16H17N3O5S,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Cephalosporins
Cephalexin,C16H17N3O4S,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Cephalosporins
Cefuroxime,C16H16N4O8S,CO/N=C(/C1=CC=CO1)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antibacterial Agents|Cephalosporins"
febuxostat,C16H16N2O3S,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,,Breast Feeding|Lactation|Antigout Agents|Gout Suppressants
Fenoldopam,C16H16ClNO3,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,,Breast Feeding|Lactation|Antihypertensive Agents|Dopamine Agents|Dopamine Agonists|Vasodilator Agents
Indapamide,C16H16ClN3O3S,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Metolazone,C16H16ClN3O3S,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Epinastine,C16H15N3,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N,,Breast Feeding|Lactation|Antihistamines
Fosphenytoin,C16H15N2O6P,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3,,Breast Feeding|Lactation|Anticonvulsants
Sitagliptin,C16H15F6N5O,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,,Breast Feeding|Lactation|Hypoglycemic Agents|Incretins|Dipeptidyl-Peptidase IV Inhibitors|DPP-4 Inhibitors
Pantoprazole,C16H15F2N3O4S,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,,"Breast Feeding|Lactation|Milk, Human|Anti-Ulcer Agents|Gastrointestinal Agents|Proton Pump Inhibitors"
clotiazepam,C16H15ClN2OS,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Valdecoxib,C16H14N2O3S,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
voriconazole,C16H14F3N5O,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents"
Lansoprazole,C16H14F3N3O2S,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Anti-Ulcer Agents|Gastrointestinal Agents|Proton Pump Inhibitors"
Dexlansoprazole,C16H14F3N3O2S,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Anti-Ulcer Agents|Gastrointestinal Agents|Proton Pump Inhibitors"
Chlordiazepoxide,C16H14ClN3O,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Mebendazole,C16H13N3O3,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Antinematodal Agents
Temazepam,C16H13ClN2O2,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Clobazam,C16H13ClN2O2,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants|Benzodiazepines"
Diazepam,C16H13ClN2O,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Flunitrazepam,C16H12FN3O3,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Lormetazepam,C16H12Cl2N2O2,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Estazolam,C16H11ClN4,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,,"Breast Feeding|Lactation|Milk, Human|Benzodiazepines|Hypnotics and Sedatives"
Clorazepate,C16H11ClN2O3,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
teduglutide,C164H252N44O55S,CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC5=CN=CN5)N,,"Breast Feeding|Lactation|Milk, Human|Hypoglycemic Agents|Incretins|Glucagon-Like Peptide-1 Agonists|GLP-1 Agonists"
Pegvaliase,C15H30N2O5,COCCOCCCCCC(=O)NCCCC[C@@H](C(=O)O)N,,"Breast Feeding|Lactation|Milk, Human|Enzymes|Lyases|Recombinant Proteins|Phenylalanine Ammonia Lyase,"
Metoprolol,C15H25NO3,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Adrenergic Beta-Antagonists|Antiarrhythmics"
Lisdexamfetamine,C15H25N3O,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](CCCCN)N,,"Breast Feeding|Lactation|Milk, Human|Adrenergic Agents|Central Nervous System Stimulants|Dopamine Agents|Sympathomimetics|Wakefulness-Promoting Agents"
Cannabis,C15H24,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,,"Breast Feeding|Lactation|Milk, Human|Cannabinoids|Street Drugs"
Sulpiride,C15H23N3O4S,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Dopamine Antagonists"
